Attribute Name,Accuracy without considering face detection losses (%),Accuracy considering Face Detection Losses (%)
5_o_Clock_Shadow,89.8266%,84.9400%
Arched_Eyebrows,76.3325%,72.1800%
Attractive,76.4805%,72.3200%
Bags_Under_Eyes,79.8646%,75.5200%
Bald,97.4619%,92.1600%
Bangs,91.0744%,86.1200%
Big_Lips,75.8037%,71.6800%
Big_Nose,79.3570%,75.0400%
Black_Hair,83.9256%,79.3600%
Blond_Hair,92.7877%,87.7400%
Blurry,95.9179%,90.7000%
Brown_Hair,82.5508%,78.0600%
Bushy_Eyebrows,86.8866%,82.1600%
Chubby,94.3105%,89.1800%
Double_Chin,95.0296%,89.8600%
Eyeglasses,96.4044%,91.1600%
Goatee,93.9509%,88.8400%
Gray_Hair,95.9391%,90.7200%
Heavy_Makeup,87.1404%,82.4000%
High_Cheekbones,81.6836%,77.2400%
Male,92.8934%,87.8400%
Mouth_Slightly_Open,83.2910%,78.7600%
Mustache,96.4256%,91.1800%
Narrow_Eyes,88.2826%,83.4800%
No_Beard,89.2344%,84.3800%
Oval_Face,72.2504%,68.3200%
Pale_Skin,96.1929%,90.9600%
Pointy_Nose,71.8486%,67.9400%
Receding_Hairline,92.7242%,87.6800%
Rosy_Cheeks,93.4010%,88.3200%
Sideburns,94.5431%,89.4000%
Smiling,87.4789%,82.7200%
Straight_Hair,77.8553%,73.6200%
Wavy_Hair,74.3866%,70.3400%
Wearing_Earrings,82.2970%,77.8200%
Wearing_Hat,97.8003%,92.4800%
Wearing_Lipstick,89.9746%,85.0800%
Wearing_Necklace,87.1193%,82.3800%
Wearing_Necktie,94.9239%,89.7600%
Young,82.8046%,78.3000%
